,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown,CrossUpCrossDown
73,2005-06-10,5.9043,6.0247,5.8301,5.9598,8571274,0,Friday,5.548299999999999,5.36607,False,True,0.0
74,2005-06-13,5.9506,6.1359,5.9227,6.0153,9756296,0,Monday,5.6141000000000005,5.380900000000001,False,False,0.0
75,2005-06-14,6.1082,6.1453,5.9506,5.9692,6884832,0,Tuesday,5.688260000000001,5.395918000000002,False,True,0.0
76,2005-06-15,6.0341,6.0803,5.9506,6.0341,6526219,0,Wednesday,5.74667,5.4090820000000015,False,True,0.0
77,2005-06-16,6.0247,6.1545,6.0153,6.1082,10576200,0,Thursday,5.7967200000000005,5.4239120000000005,False,False,0.0
78,2005-06-17,6.0896,6.1545,6.0524,6.0989,13898962,0,Friday,5.85882,5.439668,False,True,0.0
79,2005-06-20,6.0619,6.1453,6.0619,6.1172,6123641,0,Monday,5.920929999999999,5.451534000000001,False,True,0.0
80,2005-06-21,6.1172,6.1915,6.0896,6.1731,4778790,0,Tuesday,5.96448,5.465432000000002,False,True,0.0
81,2005-06-22,6.1823,6.2007,6.1545,6.1915,4522340,0,Wednesday,6.01176,5.480262,False,False,0.0
82,2005-06-23,6.2007,6.4325,6.1453,6.1731,8804152,0,Thursday,6.067360000000001,5.493980000000001,False,False,0.0
83,2005-06-24,6.0803,6.0989,5.8394,5.8671,10305437,0,Friday,6.084960000000001,5.505660000000001,False,False,0.0
84,2005-06-27,5.8394,5.9321,5.756,5.8301,5072459,0,Monday,6.07384,5.516042000000001,False,True,0.0
85,2005-06-28,5.8486,5.9043,5.8023,5.8949,4421792,0,Tuesday,6.047880000000001,5.525496000000001,False,False,0.0
86,2005-06-29,5.8671,5.9506,5.8394,5.8579,5180340,0,Wednesday,6.03118,5.536432000000001,False,False,0.0
87,2005-06-30,5.8949,5.9043,5.7095,5.7466,6215130,0,Thursday,6.0182,5.547736,False,False,0.0
88,2005-07-01,5.7931,5.7931,5.691,5.7003,3447230,0,Friday,5.98855,5.559047999999999,False,False,0.0
89,2005-07-05,5.6726,5.718999999999999,5.5889999999999995,5.7003,10196602,0,Tuesday,5.94962,5.567208000000001,False,True,0.0
90,2005-07-06,5.6817,5.8949,5.6262,5.7931,6633354,0,Wednesday,5.90607,5.5787,False,True,0.0
91,2005-07-07,5.718999999999999,5.9598,5.6726,5.9506,5885742,0,Thursday,5.8597399999999995,5.586860000000001,False,True,0.0
92,2005-07-08,5.9784,6.0803,5.9134,6.0247,5713154,0,Friday,5.83751,5.60132,False,True,0.0
93,2005-07-11,6.0433,6.1453,6.0341,6.1082,4011006,0,Monday,5.833809999999999,5.619302,False,True,0.0
94,2005-07-12,6.0803,6.2565,6.0619,6.2101,5572676,0,Tuesday,5.8579,5.639878000000001,False,True,0.0
95,2005-07-13,6.2286,6.2842,6.1637,6.2565,4912473,0,Wednesday,5.895900000000001,5.6630460000000005,False,True,0.0
96,2005-07-14,6.2936,6.3399,6.2565,6.2936,4719250,0,Thursday,5.938550000000001,5.686218000000001,False,False,0.0
97,2005-07-15,6.2656,6.3954,6.2656,6.2751,9412204,0,Friday,5.975620000000001,5.709018000000001,False,False,0.0
98,2005-07-18,6.2565,6.2656,6.1915,6.2656,3538068,0,Monday,6.021960000000001,5.730896000000001,False,True,0.0
99,2005-07-19,6.2565,6.2936,6.2193,6.2842,3061034,0,Tuesday,6.080350000000001,5.752960000000001,False,True,0.0
100,2005-07-20,6.2565,6.3677,6.2193,6.3305,3976182,0,Wednesday,6.13783,5.766862000000001,False,True,0.0
101,2005-07-21,6.3399,6.4418,6.2842,6.349,6189912,0,Thursday,6.1999200000000005,5.786328000000001,False,True,0.0
102,2005-07-22,6.377000000000001,6.414,6.3399,6.414,2969436,0,Friday,6.2397800000000005,5.805794,False,False,0.0
103,2005-07-25,6.414,6.4418,6.349,6.3954,4116492,0,Monday,6.27685,5.828965999999999,False,False,0.0
104,2005-07-26,6.4233,6.4604,6.3305,6.3954,8453158,0,Tuesday,6.31115,5.850656,False,True,0.0
105,2005-07-27,6.4325,6.6735,6.3862,6.6735,12283518,0,Wednesday,6.33154,5.874198,False,False,0.0
106,2005-07-28,6.7013,6.7013,6.5901,6.5901,8944394,0,Thursday,6.372310000000001,5.899964,False,True,0.0
107,2005-07-29,6.5159,7.1833,6.5067,7.0721,20017133,0,Friday,6.397340000000002,5.919986,False,False,0.0
108,2005-08-01,7.0258,7.0905,6.9237,6.997999999999999,8056214,0,Monday,6.4742700000000015,5.950018000000001,False,True,0.0
109,2005-08-02,7.0071,7.1833,6.97,7.1184,6892712,0,Tuesday,6.54933,5.981714,False,True,0.0
110,2005-08-03,7.1092,7.3038,7.1092,7.2017,8465515,0,Wednesday,6.634600000000001,6.014712,False,False,0.0
111,2005-08-04,7.1925,7.2482,7.1092,7.1741,4887887,0,Thursday,6.71986,6.0504880000000005,False,False,0.0
112,2005-08-05,7.1554,7.2204,7.0721,7.0813,8141694,0,Friday,6.797699999999999,6.086264,False,True,0.0
113,2005-08-08,7.0905,7.2112,7.0721,7.1278,4599646,0,Monday,6.865350000000001,6.121854,False,False,0.0
114,2005-08-09,7.1370000000000005,7.1925,7.0813,7.0905,4407372,0,Tuesday,6.936720000000001,6.158741999999998,False,False,0.0
115,2005-08-10,7.1370000000000005,7.1554,6.9331,6.9515,4679155,0,Wednesday,7.00717,6.19415,False,False,0.0
116,2005-08-11,6.9237,6.9515,6.7941,6.9146,6639185,0,Thursday,7.029410000000001,6.223624,False,False,0.0
117,2005-08-12,6.8497,6.8682,6.7662,6.8218,5574238,0,Friday,7.0627900000000015,6.250134,False,True,0.0
118,2005-08-15,7.0905,7.2296,7.0258,7.0535,6152981,0,Monday,7.06926,6.282572,False,False,0.0
119,2005-08-16,7.0629,7.1092,6.9331,6.9515,2883533,0,Tuesday,7.07484,6.315014,False,True,0.0
120,2005-08-17,6.9331,7.1370000000000005,6.9237,7.0535,4167642,0,Wednesday,7.05723,6.340042,False,False,0.0
121,2005-08-18,7.0165,7.0905,6.9609,6.9886,2698989,0,Thursday,7.03963,6.366182,False,False,0.0
122,2005-08-19,6.9794,7.0535,6.9515,6.9609,1921099,0,Friday,7.022030000000001,6.392876,False,False,0.0
123,2005-08-22,7.0258,7.0535,6.8961,6.9515,2814821,0,Monday,7.015559999999999,6.415306,False,True,0.0
124,2005-08-23,6.9237,7.1278,6.9237,7.0535,4909000,0,Tuesday,6.99423,6.434768,False,True,0.0
125,2005-08-24,7.0721,7.415,7.0629,7.3224,8029285,0,Wednesday,6.98774,6.454046,False,False,0.0
126,2005-08-25,7.3317,7.3594,7.2389,7.276,3447993,0,Thursday,7.028540000000001,6.479997999999999,False,False,0.0
127,2005-08-26,7.2482,7.3131,7.2017,7.2668,3129656,0,Friday,7.068390000000001,6.504467999999999,False,True,0.0
128,2005-08-29,7.2944,7.4706,7.2112,7.4428,5239617,0,Monday,7.08878,6.528563999999998,False,False,0.0
129,2005-08-30,7.3872,7.5726,7.3594,7.415,7684242,0,Tuesday,7.12121,6.555069999999998,False,True,0.0
130,2005-08-31,7.415,7.7673,7.3779,7.7673,5869327,0,Wednesday,7.169399999999999,6.581025999999998,False,True,0.0
131,2005-09-01,7.7116,7.9433,7.7116,7.8878,5795368,0,Thursday,7.23891,6.611611999999997,False,True,0.0
132,2005-09-02,7.9063,7.9619,7.86,7.9154,4702930,0,Friday,7.3316,6.645723999999998,False,True,0.0
133,2005-09-06,7.934,7.9897,7.897,7.9804,3612782,0,Tuesday,7.42242,6.682797999999999,False,False,0.0
134,2005-09-07,8.0176,8.0176,7.6838,7.7116,10504737,0,Wednesday,7.531810000000002,6.726361999999999,False,False,0.0
135,2005-09-08,7.6653,7.6746,7.5171,7.5171,8456383,0,Thursday,7.59113,6.762696,False,True,0.0
