,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown
78,1999-06-30,50.8,53.598,50.202,51.536,43537331,0,Wednesday,49.498099999999994,47.92815999999999,False,True
79,1999-07-01,51.698,52.177,50.805,51.883,15258117,0,Thursday,49.8832,48.047839999999994,False,True
80,1999-07-02,51.873000000000005,52.596000000000004,51.873000000000005,52.541000000000004,7384313,0,Friday,50.21419999999999,48.125659999999996,False,True
81,1999-07-06,52.817,53.346000000000004,51.92100000000001,52.202,19669370,0,Tuesday,50.538599999999995,48.210699999999996,False,False
82,1999-07-07,52.175,52.512,51.81,52.288999999999994,23527814,0,Wednesday,50.7143,48.25828000000001,False,True
83,1999-07-08,52.288999999999994,53.199,52.031000000000006,52.983999999999995,25104708,0,Thursday,51.0235,48.28460000000001,False,True
84,1999-07-09,53.178000000000004,53.568000000000005,52.785,53.513999999999996,9409294,0,Friday,51.3472,48.35990000000001,False,True
85,1999-07-12,53.711999999999996,53.994,52.928000000000004,53.238,17479625,0,Monday,51.7885,48.476279999999996,False,False
86,1999-07-13,52.983999999999995,53.181999999999995,52.563,52.983999999999995,13933392,0,Tuesday,52.15469999999999,48.567919999999994,False,False
87,1999-07-14,53.519,53.992,52.763999999999996,53.891000000000005,15452515,0,Wednesday,52.50449999999999,48.68037999999999,False,True
88,1999-07-15,54.075,54.38,53.775,54.38,14626451,0,Thursday,52.831999999999994,48.80453999999999,False,True
89,1999-07-16,54.413999999999994,55.196999999999996,54.391999999999996,54.887,10989152,0,Friday,53.10360000000001,48.95163999999999,False,True
90,1999-07-19,55.105,55.105,54.108000000000004,54.325,15283007,0,Monday,53.42679999999999,49.09345999999999,False,False
91,1999-07-20,53.665,53.74100000000001,52.093,52.23,33182598,0,Tuesday,53.5116,49.22446,False,False
92,1999-07-21,52.338,52.93,51.917,52.477,24559291,0,Wednesday,53.5279,49.3178,False,True
93,1999-07-22,52.481,52.481,51.001000000000005,51.147,33879014,0,Thursday,53.5471,49.40288,False,False
94,1999-07-23,51.533,51.746,50.69,51.223,27095234,0,Friday,53.382600000000004,49.4571,False,True
95,1999-07-26,50.528,51.086999999999996,49.885,49.968,23973671,0,Monday,53.06420000000001,49.46781999999999,False,False
96,1999-07-27,50.968,51.751000000000005,50.534,50.968,30715846,0,Tuesday,52.8626,49.532639999999994,False,True
97,1999-07-28,51.582,52.253,50.92,51.967,22727956,0,Wednesday,52.66890000000001,49.61758,False,True
98,1999-07-29,51.004,51.423,50.358000000000004,50.865,29147742,0,Thursday,52.3618,49.666259999999994,False,False
99,1999-07-30,51.083999999999996,51.643,50.534,50.611000000000004,24483800,0,Friday,52.028800000000004,49.71593999999999,False,False
100,1999-08-02,50.692,51.698,50.278,50.468999999999994,21564422,0,Monday,51.5875,49.74633999999999,False,False
101,1999-08-03,51.159,51.168,49.407,50.14,29086524,0,Tuesday,51.3369,49.812099999999994,False,False
102,1999-08-04,50.144,50.516999999999996,49.196000000000005,49.233999999999995,29582458,0,Wednesday,51.11750000000001,49.867659999999994,False,False
103,1999-08-05,49.238,50.015,48.067,50.015,41810754,0,Thursday,50.793200000000006,49.931900000000006,False,True
104,1999-08-06,49.658,50.58,49.126000000000005,49.48,27714700,0,Friday,50.6057,50.0219,False,False
105,1999-08-09,49.657,49.79600000000001,48.745,48.841,17855033,0,Monday,50.518600000000006,50.10246000000001,False,False
106,1999-08-10,48.713,49.066,47.341,48.407,37496448,0,Tuesday,50.2931,50.15556000000001,False,False
107,1999-08-11,49.263999999999996,50.073,48.521,49.988,29303996,0,Wednesday,50.0613,50.21198,True,True
108,1999-08-12,50.188,50.521,49.294,49.406000000000006,28438831,0,Thursday,49.9797,50.306279999999994,False,False
109,1999-08-13,50.443999999999996,51.619,50.357,51.56100000000001,32074889,0,Friday,49.9157,50.38287999999999,False,True
110,1999-08-16,51.531000000000006,52.141000000000005,51.195,51.967,25655231,0,Monday,49.9996,50.494659999999996,False,True
111,1999-08-17,52.426,52.482,51.283,52.23,25513928,0,Tuesday,50.1263,50.596500000000006,False,True
112,1999-08-18,51.982,52.625,51.45,51.646,15733132,0,Wednesday,50.310100000000006,50.67438,False,False
113,1999-08-19,51.168,51.532,50.698,51.026,22718444,0,Thursday,50.5031,50.75884,False,False
114,1999-08-20,51.07899999999999,51.836000000000006,50.797,51.836000000000006,15479782,0,Friday,50.6452,50.83918,False,True
115,1999-08-23,52.31399999999999,53.485,52.192,53.485,21587285,0,Monday,50.910900000000005,50.938719999999996,False,True
116,1999-08-24,53.097,54.43600000000001,52.993,53.852,31068503,0,Tuesday,51.34929999999999,51.07124000000001,True,True
117,1999-08-25,54.19,55.224,53.6,54.998999999999995,25386874,0,Wednesday,51.84190000000001,51.24416000000001,False,True
118,1999-08-26,54.992,55.191,53.996,54.077,21813632,0,Thursday,52.3223,51.398780000000016,False,False
119,1999-08-27,54.482,54.486999999999995,53.4,53.542,21550800,0,Friday,52.726099999999995,51.53148,False,False
120,1999-08-30,53.765,53.933,52.648,52.788000000000004,22682160,0,Monday,52.949500000000015,51.63552000000001,False,False
